{'loss': '0.08303', 'grad_norm': '24.12', 'learning_rate': '1.844e-05', 'epoch': '0.00398'}
{'loss': '1.546', 'grad_norm': '17.12', 'learning_rate': '1.842e-05', 'epoch': '0.003999'}
{'loss': '3.572', 'grad_norm': '68', 'learning_rate': '1.84e-05', 'epoch': '0.004019'}
{'loss': '1.541', 'grad_norm': '96.5', 'learning_rate': '1.838e-05', 'epoch': '0.004038'}
{'loss': '1.047', 'grad_norm': '24.75', 'learning_rate': '1.837e-05', 'epoch': '0.004057'}
{'loss': '1.601', 'grad_norm': '20', 'learning_rate': '1.835e-05', 'epoch': '0.004077'}
{'loss': '1.819', 'grad_norm': '124.5', 'learning_rate': '1.833e-05', 'epoch': '0.004096'}
{'loss': '0.645', 'grad_norm': '28.88', 'learning_rate': '1.831e-05', 'epoch': '0.004115'}
{'loss': '0.5923', 'grad_norm': '45.25', 'learning_rate': '1.829e-05', 'epoch': '0.004134'}
{'loss': '1.555', 'grad_norm': '18', 'learning_rate': '1.828e-05', 'epoch': '0.004154'}
{'loss': '1.709', 'grad_norm': '35.25', 'learning_rate': '1.826e-05', 'epoch': '0.004173'}
{'loss': '1.19', 'grad_norm': '43.75', 'learning_rate': '1.824e-05', 'epoch': '0.004192'}
{'loss': '1.608', 'grad_norm': '37.5', 'learning_rate': '1.822e-05', 'epoch': '0.004212'}
{'loss': '0.2364', 'grad_norm': '55.25', 'learning_rate': '1.82e-05', 'epoch': '0.004231'}
{'loss': '1.099', 'grad_norm': '21.62', 'learning_rate': '1.818e-05', 'epoch': '0.00425'}
{'loss': '0.9848', 'grad_norm': '26', 'learning_rate': '1.817e-05', 'epoch': '0.00427'}
{'loss': '1.776', 'grad_norm': '25.25', 'learning_rate': '1.815e-05', 'epoch': '0.004289'}
{'loss': '0.5855', 'grad_norm': '20.38', 'learning_rate': '1.813e-05', 'epoch': '0.004308'}
{'loss': '1.799', 'grad_norm': '34.5', 'learning_rate': '1.811e-05', 'epoch': '0.004328'}
{'loss': '1.299', 'grad_norm': '66', 'learning_rate': '1.809e-05', 'epoch': '0.004347'}
{'loss': '1.318', 'grad_norm': '21.12', 'learning_rate': '1.807e-05', 'epoch': '0.004366'}
{'loss': '2.074', 'grad_norm': '18.25', 'learning_rate': '1.805e-05', 'epoch': '0.004386'}
{'loss': '0.4313', 'grad_norm': '13.94', 'learning_rate': '1.803e-05', 'epoch': '0.004405'}
{'loss': '2.344', 'grad_norm': '196', 'learning_rate': '1.801e-05', 'epoch': '0.004424'}
{'loss': '3.93', 'grad_norm': '460', 'learning_rate': '1.799e-05', 'epoch': '0.004444'}
{'loss': '1.674', 'grad_norm': '136', 'learning_rate': '1.797e-05', 'epoch': '0.004463'}
{'loss': '1.091', 'grad_norm': '14', 'learning_rate': '1.795e-05', 'epoch': '0.004482'}
{'loss': '1.144', 'grad_norm': '19.38', 'learning_rate': '1.794e-05', 'epoch': '0.004502'}
{'loss': '1.084', 'grad_norm': '15.31', 'learning_rate': '1.792e-05', 'epoch': '0.004521'}
{'loss': '0.7891', 'grad_norm': '57.5', 'learning_rate': '1.79e-05', 'epoch': '0.00454'}
{'loss': '1.608', 'grad_norm': '26.38', 'learning_rate': '1.788e-05', 'epoch': '0.00456'}
{'loss': '1.593', 'grad_norm': '76', 'learning_rate': '1.786e-05', 'epoch': '0.004579'}
{'loss': '1.146', 'grad_norm': '99', 'learning_rate': '1.784e-05', 'epoch': '0.004598'}
{'loss': '1.618', 'grad_norm': '20', 'learning_rate': '1.782e-05', 'epoch': '0.004617'}
{'loss': '2.331', 'grad_norm': '45', 'learning_rate': '1.78e-05', 'epoch': '0.004637'}
{'loss': '1.45', 'grad_norm': '65.5', 'learning_rate': '1.777e-05', 'epoch': '0.004656'}
{'loss': '0.64', 'grad_norm': '39.5', 'learning_rate': '1.775e-05', 'epoch': '0.004675'}
{'loss': '1.251', 'grad_norm': '18.75', 'learning_rate': '1.773e-05', 'epoch': '0.004695'}
{'loss': '1.604', 'grad_norm': '14.69', 'learning_rate': '1.771e-05', 'epoch': '0.004714'}
{'loss': '1.768', 'grad_norm': '47', 'learning_rate': '1.769e-05', 'epoch': '0.004733'}
{'loss': '1.666', 'grad_norm': '68.5', 'learning_rate': '1.767e-05', 'epoch': '0.004753'}
{'loss': '1.114', 'grad_norm': '62.25', 'learning_rate': '1.765e-05', 'epoch': '0.004772'}
{'loss': '0.8263', 'grad_norm': '21', 'learning_rate': '1.763e-05', 'epoch': '0.004791'}
{'loss': '3.527', 'grad_norm': '163', 'learning_rate': '1.761e-05', 'epoch': '0.004811'}
{'loss': '1.201', 'grad_norm': '15.56', 'learning_rate': '1.759e-05', 'epoch': '0.00483'}
{'loss': '1.326', 'grad_norm': '17.62', 'learning_rate': '1.757e-05', 'epoch': '0.004849'}
{'loss': '1.072', 'grad_norm': '15.44', 'learning_rate': '1.755e-05', 'epoch': '0.004869'}
{'loss': '1.284', 'grad_norm': '32.5', 'learning_rate': '1.752e-05', 'epoch': '0.004888'}
{'loss': '1.489', 'grad_norm': '16.12', 'learning_rate': '1.75e-05', 'epoch': '0.004907'}
{'loss': '1.311', 'grad_norm': '22.38', 'learning_rate': '1.748e-05', 'epoch': '0.004927'}
{'loss': '1.595', 'grad_norm': '48', 'learning_rate': '1.746e-05', 'epoch': '0.004946'}
{'loss': '2.091', 'grad_norm': '29.5', 'learning_rate': '1.744e-05', 'epoch': '0.004965'}
{'loss': '1.097', 'grad_norm': '28.88', 'learning_rate': '1.742e-05', 'epoch': '0.004985'}
{'loss': '1.343', 'grad_norm': '68.5', 'learning_rate': '1.74e-05', 'epoch': '0.005004'}
{'loss': '2.175', 'grad_norm': '56.75', 'learning_rate': '1.737e-05', 'epoch': '0.005023'}
{'loss': '1.129', 'grad_norm': '28.75', 'learning_rate': '1.735e-05', 'epoch': '0.005043'}
{'loss': '1.387', 'grad_norm': '16.62', 'learning_rate': '1.733e-05', 'epoch': '0.005062'}
{'loss': '2.069', 'grad_norm': '33', 'learning_rate': '1.731e-05', 'epoch': '0.005081'}
{'loss': '1.559', 'grad_norm': '34.75', 'learning_rate': '1.729e-05', 'epoch': '0.0051'}
{'loss': '1.247', 'grad_norm': '36', 'learning_rate': '1.726e-05', 'epoch': '0.00512'}
